k;p
761173;-1088.12
812718;-1063.86
801393;-1046.62
644117;-1039.63
393800;-1036.88
155030;-1036.21
29839.7;-1036.66
71975.4;-1037.72
263323;-1039.25
521837;-1041.6
737759;-1046.05
824633;-1056.23
780526;-1080.54
782290;-1078.94
823965;-1053.41
732803;-1041.63
514315;-1035.62
256331;-1032.41
68434.1;-1031.14
31184.5;-1031.51
160579;-1033.35
401050;-1036.59
649857;-1041.56
803186;-1050.01
810528;-1067.96
760302;-1090.7
815099;-1064.61
793184;-1047.33
626364;-1038.63
373432;-1033.4
140426;-1030.35
26974.2;-1029.26
81790.6;-1030.14
281314;-1032.91
540024;-1037.6
748252;-1044.92
823647;-1058.13
774430;-1084.96
786473;-1079.76
821607;-1055.87
719582;-1044.74
494889;-1038.53
238681;-1034.57
59921.9;-1032.31
35276.7;-1031.76
175325;-1033.04
419938;-1036.26
664681;-1041.84
807855;-1051.55
805396;-1071.61
760441;-1092.74
816828;-1066.83
784579;-1052.15
609018;-1045.54
354176;-1041.87
127187;-1039.57
25157.8;-1038.27
91901.9;-1038.05
298735;-1039.19
557040;-1042.22
757504;-1048.42
821971;-1061.65
769012;-1089.22
790383;-1080.74
818510;-1059.9
706337;-1052.19
476277;-1049.44
222344;-1048.37
52648.9;-1047.68
39985;-1046.95
189785;-1046.38
437745;-1046.67
678086;-1049.19
811387;-1056.7
800086;-1076.41
761381;-1094.33
817936;-1068.93
775746;-1057.49
592255;-1054.68
336131;-1054.94
115296;-1055.74
24266.5;-1055.81
102135;-1054.85
315440;-1053.46
572830;-1053.03
765577;-1055.97
819757;-1067.3
764368;-1093.83
793882;-1081.41
814760;-1062.46
693188;-1057.04
458556;-1057.01
207314;-1058.68
46520.1;-1060.04
45164.1;-1060.11
203819;-1058.89
454394;-1057.41
690083;-1057.65
813872;-1063.27
794714;-1082.31
762931;-1095.95
818469;-1069.88
766802;-1058.94
576159;-1056.58
319305;-1057.62
104679;-1059.5
24176;-1060.73
112369;-1060.71
331366;-1059.78
587414;-1059.34
772564;-1061.98
817131;-1073.26
760530;-1098.9
796922;-1082.25
810457;-1062.84
680202;-1055.95
441716;-1054.22
193502;-1054.66
41409.8;-1055.77
50704.5;-1056.74
217383;-1057.35
469928;-1058.13
700783;-1060.51
815441;-1067.87
789377;-1088.32
764914;-1098.18
818484;-1070.93
757817;-1058.05
560731;-1052.51
303620;-1050.23
95208.3;-1049.75
24760.9;-1050.42
122532;-1051.88
346521;-1054.08
600878;-1057.47
778585;-1063.72
814192;-1077.93
757455;-1104.05
799497;-1084.31
805711;-1064.15
667443;-1054.7
425733;-1049.56
180809;-1046.84
37185.6;-1046.02
56503.9;-1046.91
230453;-1049.37
484412;-1053.39
710321;-1059.54
816240;-1070.42
784157;-1093.78
767142;-1101.09
818035;-1074.12
748872;-1060.67
546002;-1053.33
289033;-1048.75
86780;-1046.19
25894.6;-1045.63
132525;-1047.09
360870;-1050.54
613259;-1056.12
783729;-1064.99
811023;-1081.96
755060;-1108.82
801608;-1087.83
800661;-1069.21
655044;-1060.38
410669;-1055.15
169203;-1051.81
33743.7;-1050.07
62433.2;-1050.02
242935;-1051.8
497836;-1055.6
718774;-1062.11
816402;-1074.01
779144;-1099.04
769439;-1104.16
817173;-1079.34
740089;-1068.54
532080;-1063.69
275584;-1061.04
79342.5;-1059.4
27453.1;-1058.48
142200;-1058.43
374301;-1059.67
624523;-1063.01
788048;-1070.35
