x;y;z;r
-99.9175;0.0017015;0.014137;0
-99.9172;0.00170965;0.0141893;0
-99.9169;0.00171783;0.0142416;0
-99.9165;0.00172603;0.0142941;0
-99.9162;0.00173426;0.0143466;0
-99.9159;0.00174251;0.0143992;0
-99.9156;0.00175078;0.0144519;0
-99.9153;0.00175908;0.0145047;0
-99.915;0.0017674;0.0145576;0
-99.9146;0.00177574;0.0146106;0
-99.9143;0.00178411;0.0146636;0
-99.914;0.0017925;0.0147168;0
-99.9137;0.00180091;0.01477;0
-99.9134;0.00180935;0.0148233;0
-99.913;0.00181781;0.0148768;0
-99.9127;0.0018263;0.0149303;0
-99.9124;0.0018348;0.0149839;0
-99.9121;0.00184334;0.0150376;0
-99.9117;0.00185189;0.0150914;0
-99.9114;0.00186047;0.0151453;0
-99.9111;0.00186907;0.0151992;0
-99.9108;0.0018777;0.0152533;0
-99.9104;0.00188635;0.0153074;0
-99.9101;0.00189503;0.0153616;0
-99.9098;0.00190373;0.0154159;0
-99.9094;0.00191246;0.0154704;0
-99.9091;0.00192121;0.0155249;0
-99.9088;0.00192998;0.0155795;0
-99.9085;0.00193878;0.0156342;0
-99.9081;0.0019476;0.015689;0
-99.9078;0.00195645;0.0157439;0
-99.9075;0.00196532;0.0157989;0
-99.9071;0.00197422;0.015854;0
-99.9068;0.00198314;0.0159091;0
-99.9065;0.00199208;0.0159644;0
-99.9061;0.00200105;0.0160197;0
-99.9058;0.00201005;0.0160751;0
-99.9055;0.00201907;0.0161306;0
-99.9051;0.00202812;0.0161862;0
-99.9048;0.00203719;0.016242;0
-99.9044;0.00204629;0.0162978;0
-99.9041;0.00205541;0.0163537;0
-99.9038;0.00206456;0.0164097;0
-99.9034;0.00207374;0.0164658;0
-99.9031;0.00208294;0.0165219;0
-99.9027;0.00209216;0.0165782;0
-99.9024;0.00210141;0.0166345;0
-99.9021;0.00211069;0.016691;0
-99.9017;0.00211999;0.0167475;0
-99.9014;0.00212932;0.0168041;0
-99.901;0.00213867;0.0168608;0
-99.9007;0.00214806;0.0169176;0
-99.9004;0.00215747;0.0169745;0
-99.9;0.0021669;0.0170314;0
-99.8997;0.00217637;0.0170885;0
-99.8993;0.00218586;0.0171457;0
-99.899;0.00219537;0.0172029;0
