x;y;z;r
23.7617;6.01269;7.18858;1.1
23.3671;6.0533;6.79042;1.1
22.1562;6.05916;7.05122;1.1
20.2478;6.03192;7.92274;1.1
17.8329;5.97727;9.28474;1.1
15.1444;5.90488;10.9524;1.1
12.4011;5.82874;12.6842;1.1
9.64927;5.76628;14.227;1.1
6.74162;5.71828;15.6015;1.1
3.82065;5.67183;16.957;1.1
1.20544;5.62357;18.2724;1.1
-0.804971;5.5753;19.4585;1.1
-1.97917;5.53054;20.4167;1.1
-2.17942;5.49307;21.0649;1.1
-1.37624;5.46613;21.3517;1.1
0.349326;5.45174;21.2661;1.1
2.81634;5.45024;20.8421;1.1
5.76803;5.45977;20.1605;1.1
8.91311;5.47528;19.3542;1.1
12.0217;5.48569;18.6268;1.1
15.1554;5.47841;18.1406;1.1
18.3854;5.46231;17.7566;1.1
21.4589;5.45109;17.338;1.1
24.0529;5.45202;16.8527;1.1
25.884;5.46864;16.3117;1.1
26.7503;5.50187;15.7456;1.1
26.5558;5.5504;15.193;1.1
25.3211;5.61116;14.6923;1.1
23.1818;5.67992;14.2738;1.1
20.3715;5.75207;13.9513;1.1
17.1924;5.82406;13.7099;1.1
13.9613;5.89632;13.4757;1.1
10.8335;5.97974;13.064;1.1
7.66641;6.07923;12.4366;1.1
4.52135;6.1785;11.8075;1.1
1.67609;6.26157;11.34;1.1
-0.578552;6.31681;11.1341;1.1
-2.00524;6.33676;11.2428;1.1
-2.4542;6.31832;11.6773;1.1
-1.88251;6.2628;12.4102;1.1
-0.360013;6.17557;13.3817;1.1
1.93773;6.06514;14.5106;1.1
4.74871;5.94173;15.7107;1.1
7.75642;5.81453;16.9214;1.1
10.665;5.68488;18.1875;1.1
13.4651;5.5412;19.6722;1.1
16.2826;5.38898;21.2719;1.1
18.9733;5.24908;22.7273;1.1
21.294;5.14036;23.8271;1.1
23.0142;5.07734;24.4185;1.1
23.9605;5.06901;24.4133;1.1
24.0415;5.11811;23.7927;1.1
23.2607;5.22102;22.6065;1.1
21.718;5.36834;20.9643;1.1
19.6011;5.54623;19.0189;1.1
17.1676;5.73881;16.9363;1.1
14.7176;5.93301;14.8347;1.1
12.4622;6.13136;12.6337;1.1
10.2858;6.34223;10.2413;1.1
8.13457;6.54979;7.88961;1.1
6.14431;6.73086;5.87251;1.1
4.48968;6.86506;4.43666;1.1
3.32645;6.93738;3.75773;1.1
2.76288;6.93981;3.92441;1.1
2.84316;6.87208;4.9308;1.1
3.53959;6.74166;6.67906;1.1
