x;y;z;r
17.7782;2.97601;21.5316;1.8
15.811;3.13206;19.8719;1.8
13.5953;3.2986;18.1191;1.8
11.4008;3.46578;16.3529;1.8
9.37195;3.63877;14.4696;1.8
7.38353;3.82215;12.4325;1.8
5.43363;3.99942;10.4725;1.8
3.66478;4.15059;8.83832;1.8
2.23985;4.25872;7.73176;1.8
1.2969;4.31185;7.29042;1.8
0.925671;4.30421;7.57559;1.8
1.15412;4.23678;8.56747;1.8
1.94295;4.11711;10.1693;1.8
3.18739;3.95824;12.2209;1.8
4.72409;3.77691;14.5237;1.8
6.33928;3.59008;16.8865;1.8
7.80222;3.40527;19.2536;1.8
9.11039;3.21317;21.7558;1.8
10.3988;3.01928;24.2873;1.8
11.6484;2.84375;26.5704;1.8
12.7745;2.70671;28.3421;1.8
13.6838;2.62427;29.3972;1.8
14.2987;2.60655;29.611;1.8
14.5712;2.65649;28.9527;1.8
14.4912;2.7696;27.4872;1.8
14.0903;2.93445;25.3674;1.8
13.4438;3.13418;22.8129;1.8
12.6726;3.34889;20.0757;1.8
11.9579;3.56113;17.3609;1.8
11.4528;3.7716;14.6259;1.8
11.0433;3.98716;11.799;1.8
10.6103;4.19407;9.09818;1.8
10.1326;4.37226;6.80825;1.8
9.62689;4.50352;5.18004;1.8
9.12566;4.57448;4.39355;1.8
8.66563;4.57831;4.5363;1.8
8.2801;4.51557;5.59326;1.8
7.99227;4.39419;7.44878;1.8
7.80841;4.22855;9.90046;1.8
7.70815;4.03779;12.6852;1.8
7.62056;3.84282;15.526;1.8
7.38037;3.6563;18.2814;1.8
6.94937;3.47;21.0746;1.8
6.51221;3.28487;23.8528;1.8
6.20543;3.11657;26.3677;1.8
6.10841;2.98244;28.3601;1.8
6.26111;2.89699;29.6185;1.8
6.66922;2.8697;30.0094;1.8
7.30788;2.90371;29.4941;1.8
8.12735;2.99539;28.1341;1.8
9.062;3.13465;26.0844;1.8
10.0442;3.30594;23.5769;1.8
11.0297;3.48995;20.8908;1.8
12.065;3.66737;18.2861;1.8
13.2944;3.83554;15.769;1.8
14.6242;4.00355;13.2326;1.8
15.831;4.16505;10.8135;1.8
16.7375;4.30691;8.73328;1.8
17.2175;4.41618;7.19985;1.8
17.1996;4.48285;6.36861;1.8
16.6705;4.50135;6.32014;1.8
15.6739;4.47139;7.04907;1.8
14.3029;4.39815;8.46311;1.8
12.6854;4.29187;10.3916;1.8
10.9588;4.16709;12.6021;1.8
9.21592;4.04157;14.8265;1.8
7.37671;3.92936;16.8854;1.8
5.36872;3.82394;18.8856;1.8
3.40209;3.71973;20.8599;1.8
1.72971;3.62242;22.6747;1.8
0.560764;3.5405;24.1663;1.8
0.0421943;3.48194;25.1918;1.8
0.245939;3.4526;25.654;1.8
1.16306;3.45524;25.5162;1.8
2.70661;3.48903;24.8087;1.8
4.72398;3.54941;23.6279;1.8
7.01998;3.62821;22.1297;1.8
9.3983;3.71364;20.5214;1.8
11.7719;3.79011;19.0391;1.8
14.2685;3.85242;17.7283;1.8
16.828;3.91168;16.4465;1.8
19.1788;3.97196;15.1952;1.8
21.0523;4.03161;14.0553;1.8
22.2334;4.08717;13.1209;1.8
22.585;4.13497;12.4731;1.8
22.0627;4.1719;12.1645;1.8
20.7184;4.19606;12.2109;1.8
18.6933;4.20713;12.5862;1.8
16.1994;4.20683;13.2209;1.8
13.4873;4.19949;14.0007;1.8
10.7781;4.19402;14.7539;1.8
8.06976;4.20306;15.3041;1.8
5.2602;4.22236;15.7326;1.8
2.53649;4.23932;16.1752;1.8
0.183609;4.24745;16.6617;1.8
-1.53972;4.24374;17.1783;1.8
-2.44146;4.22748;17.6938;1.8
-2.41972;4.19974;18.1715;1.8
-1.47452;4.16295;18.5772;1.8
0.292434;4.12046;18.8862;1.8
2.68985;4.07583;19.0896;1.8
5.46109;4.03185;19.2038;1.8
8.32618;3.98844;19.2897;1.8
11.1053;3.93735;19.5013;1.8
13.9034;3.87135;19.9171;1.8
16.7141;3.80274;20.3666;1.8
19.3019;3.74568;20.7026;1.8
21.404;3.71031;20.8396;1.8
22.7993;3.70326;20.733;1.8
23.3411;3.72751;20.3723;1.8
22.9757;3.7824;19.7782;1.8
21.7496;3.86392;18.9969;1.8
19.8048;3.96534;18.0918;1.8
17.363;4.0784;17.1308;1.8
14.6989;4.19532;16.1635;1.8
12.0853;4.31377;15.1642;1.8
9.57907;4.44348;13.9843;1.8
7.05479;4.58298;12.6716;1.8
4.61674;4.71466;11.4494;1.8
2.48265;4.822;10.5021;1.8
0.865773;4.89214;9.96311;1.8
-0.068579;4.91683;9.91234;1.8
-0.227171;4.89306;10.3719;1.8
0.398311;4.82321;11.3067;1.8
1.72876;4.71464;12.6308;1.8
3.6048;4.57862;14.2211;1.8
5.80213;4.42845;15.9402;1.8
8.05513;4.27576;17.6824;1.8
10.15;4.12042;19.4956;1.8
