Lx;Ly;Lz
31.3183;-11280.2;-1754.44
31.3192;-11280.1;-1754.43
31.3201;-11280.1;-1754.43
31.321;-11280;-1754.43
31.3219;-11280;-1754.42
31.3228;-11279.9;-1754.42
31.3236;-11279.9;-1754.41
31.3249;-11279.8;-1754.41
31.3295;-11279.5;-1754.39
31.3407;-11278.7;-1754.33
31.3486;-11278.2;-1754.3
31.3513;-11278;-1754.28
31.3524;-11278;-1754.28
31.3533;-11277.9;-1754.27
31.3542;-11277.9;-1754.27
31.3551;-11277.8;-1754.27
31.356;-11277.7;-1754.26
31.3569;-11277.7;-1754.26
31.3577;-11277.6;-1754.25
31.3586;-11277.6;-1754.25
31.3611;-11277.4;-1754.24
31.3702;-11276.8;-1754.2
31.3801;-11276.2;-1754.15
31.3846;-11275.9;-1754.13
31.3861;-11275.8;-1754.12
31.3871;-11275.7;-1754.12
31.3879;-11275.7;-1754.11
31.3889;-11275.6;-1754.11
31.3898;-11275.5;-1754.1
31.3907;-11275.5;-1754.1
31.3915;-11275.4;-1754.1
31.3923;-11275.4;-1754.09
31.3938;-11275.3;-1754.09
31.3993;-11274.9;-1754.06
31.4104;-11274.2;-1754.01
31.4177;-11273.7;-1753.97
31.42;-11273.6;-1753.96
31.421;-11273.5;-1753.96
31.4219;-11273.4;-1753.95
31.4228;-11273.4;-1753.95
31.4237;-11273.3;-1753.95
31.4247;-11273.3;-1753.94
31.4255;-11273.2;-1753.94
31.4263;-11273.2;-1753.93
31.4273;-11273.1;-1753.93
31.4302;-11272.9;-1753.92
31.4402;-11272.3;-1753.87
31.4496;-11271.6;-1753.83
31.4535;-11271.4;-1753.81
31.4549;-11271.3;-1753.8
31.4558;-11271.2;-1753.8
31.4567;-11271.2;-1753.79
31.4576;-11271.1;-1753.79
31.4585;-11271.1;-1753.78
31.4594;-11271;-1753.78
31.4602;-11270.9;-1753.78
31.4611;-11270.9;-1753.77
31.4627;-11270.8;-1753.76
31.4691;-11270.4;-1753.73
31.48;-11269.7;-1753.68
31.4865;-11269.2;-1753.65
31.4885;-11269.1;-1753.64
31.4895;-11269;-1753.64
31.4904;-11269;-1753.63
31.4913;-11268.9;-1753.63
31.4923;-11268.9;-1753.63
31.4932;-11268.8;-1753.62
31.494;-11268.7;-1753.62
31.4948;-11268.7;-1753.61
31.4959;-11268.6;-1753.61
31.4993;-11268.4;-1753.59
31.5099;-11267.7;-1753.54
31.5188;-11267.1;-1753.5
31.5222;-11266.9;-1753.49
31.5235;-11266.8;-1753.48
31.5244;-11266.8;-1753.48
31.5252;-11266.7;-1753.47
31.5262;-11266.7;-1753.47
31.5271;-11266.6;-1753.46
31.528;-11266.5;-1753.46
31.5288;-11266.5;-1753.46
31.5296;-11266.4;-1753.45
31.5315;-11266.3;-1753.44
31.5389;-11265.8;-1753.41
31.5494;-11265.1;-1753.36
31.5551;-11264.8;-1753.33
31.5569;-11264.6;-1753.32
31.5579;-11264.6;-1753.32
31.5588;-11264.5;-1753.32
31.5597;-11264.5;-1753.31
31.5606;-11264.4;-1753.31
31.5615;-11264.3;-1753.3
31.5624;-11264.3;-1753.3
31.5632;-11264.2;-1753.29
31.5644;-11264.2;-1753.29
31.5684;-11263.9;-1753.27
31.5793;-11263.2;-1753.22
31.5877;-11262.6;-1753.18
31.5906;-11262.4;-1753.17
31.5918;-11262.4;-1753.16
31.5927;-11262.3;-1753.16
31.5936;-11262.3;-1753.15
31.5945;-11262.2;-1753.15
31.5954;-11262.1;-1753.14
31.5963;-11262.1;-1753.14
31.5971;-11262;-1753.14
31.598;-11262;-1753.13
31.6001;-11261.8;-1753.12
31.6084;-11261.3;-1753.08
31.6185;-11260.6;-1753.04
31.6236;-11260.3;-1753.01
31.6252;-11260.2;-1753
31.6261;-11260.1;-1753
31.627;-11260.1;-1753
31.6279;-11260;-1752.99
31.6289;-11260;-1752.99
31.6298;-11259.9;-1752.98
31.6306;-11259.8;-1752.98
31.6314;-11259.8;-1752.98
31.6327;-11259.7;-1752.97
31.6374;-11259.4;-1752.95
31.6485;-11258.7;-1752.9
31.6562;-11258.2;-1752.86
31.6588;-11258;-1752.85
31.6599;-11257.9;-1752.84
31.6608;-11257.9;-1752.84
31.6617;-11257.8;-1752.83
31.6626;-11257.8;-1752.83
31.6636;-11257.7;-1752.83
31.6644;-11257.6;-1752.82
31.6652;-11257.6;-1752.82
31.6662;-11257.5;-1752.81
31.6686;-11257.4;-1752.8
31.6778;-11256.8;-1752.76
31.6875;-11256.1;-1752.71
31.6919;-11255.8;-1752.69
31.6934;-11255.7;-1752.69
31.6943;-11255.7;-1752.68
31.6952;-11255.6;-1752.68
31.6961;-11255.6;-1752.67
31.6971;-11255.5;-1752.67
31.6979;-11255.4;-1752.66
31.6988;-11255.4;-1752.66
31.6996;-11255.3;-1752.66
31.701;-11255.2;-1752.65
31.7065;-11254.9;-1752.62
31.7175;-11254.2;-1752.57
31.7246;-11253.7;-1752.54
31.7269;-11253.6;-1752.53
31.728;-11253.5;-1752.52
31.7289;-11253.4;-1752.52
31.7298;-11253.4;-1752.52
31.7307;-11253.3;-1752.51
31.7316;-11253.3;-1752.51
31.7325;-11253.2;-1752.5
31.7332;-11253.1;-1752.5
31.7343;-11253.1;-1752.49
31.7371;-11252.9;-1752.48
31.747;-11252.3;-1752.43
31.7563;-11251.6;-1752.39
31.7602;-11251.4;-1752.37
31.7616;-11251.3;-1752.37
31.7625;-11251.2;-1752.36
31.7634;-11251.2;-1752.36
31.7643;-11251.1;-1752.35
31.7652;-11251.1;-1752.35
31.7661;-11251;-1752.35
31.7669;-11251;-1752.34
31.7677;-11250.9;-1752.34
31.7694;-11250.8;-1752.33
31.7756;-11250.4;-1752.3
31.7864;-11249.7;-1752.25
31.7929;-11249.3;-1752.22
31.795;-11249.1;-1752.21
31.796;-11249.1;-1752.21
31.7969;-11249;-1752.2
31.7978;-11248.9;-1752.2
31.7987;-11248.9;-1752.19
31.7996;-11248.8;-1752.19
31.8004;-11248.8;-1752.19
31.8012;-11248.7;-1752.18
31.8023;-11248.6;-1752.18
31.8056;-11248.4;-1752.16
31.816;-11247.8;-1752.11
31.8249;-11247.2;-1752.07
31.8284;-11246.9;-1752.05
31.8296;-11246.9;-1752.05
31.8305;-11246.8;-1752.04
31.8314;-11246.8;-1752.04
31.8323;-11246.7;-1752.04
31.8332;-11246.6;-1752.03
31.8341;-11246.6;-1752.03
31.8349;-11246.5;-1752.02
31.8358;-11246.5;-1752.02
31.8376;-11246.3;-1752.01
31.8446;-11245.9;-1751.98
31.8551;-11245.2;-1751.93
31.861;-11244.8;-1751.9
31.8629;-11244.7;-1751.89
31.8638;-11244.6;-1751.89
31.8647;-11244.6;-1751.88
31.8656;-11244.5;-1751.88
31.8665;-11244.5;-1751.88
31.8674;-11244.4;-1751.87
31.8683;-11244.3;-1751.87
31.8691;-11244.3;-1751.86
31.8702;-11244.2;-1751.86
31.874;-11244;-1751.84
31.8847;-11243.3;-1751.79
31.8932;-11242.7;-1751.75
31.8962;-11242.5;-1751.74
31.8974;-11242.4;-1751.73
31.8983;-11242.4;-1751.73
31.8992;-11242.3;-1751.72
31.9001;-11242.3;-1751.72
31.901;-11242.2;-1751.71
31.9019;-11242.1;-1751.71
31.9027;-11242.1;-1751.71
31.9036;-11242;-1751.7
31.9056;-11241.9;-1751.69
31.9134;-11241.4;-1751.66
31.9236;-11240.7;-1751.61
31.9289;-11240.4;-1751.58
31.9306;-11240.3;-1751.58
31.9315;-11240.2;-1751.57
31.9324;-11240.2;-1751.57
31.9333;-11240.1;-1751.56
31.9342;-11240;-1751.56
31.9351;-11240;-1751.55
31.9359;-11239.9;-1751.55
31.9367;-11239.9;-1751.55
31.938;-11239.8;-1751.54
31.9423;-11239.5;-1751.52
